questionType,logs
Quel est le programme TV ?,"La.page d'accueil de l'application france tv est statique, ne change pas ,depuis des semaines....quel intérêt ?aucun effort fait pour donner envie de voir des programmes ?"
Comment contacter le service client ?,comment trouver le contact de rencontres à XV
Fort Boyard,fort boyard \nest pa disponible en espagne
J'aimerai poser une question autour du coronavirus,Pourquoi faut-il 8m2 chez le coiffeur pendant 2h et même pas un m2 dans le train l avion et autre bus pendant plusieurs heures on marche sur la tête
Comment contacter le service client ?,bonjour je n'ai pas demandé a supprimer france 2
Comment proposer un sujet ?,Pourquoi vous ne rediffusez pas Les Saintes Chéries -L'homme du Picardie- La marchande de pain- Les Carpentier et pleins de beaux films anciens même en noir et blanc et d'anciennes séries et pièces de théâtre cela manque beaucoup
J'habite à l'étranger,s'inscrire d'Italie ???
S'abonner ou se désabonner à nos newsletters,jme e suis désabonné de la newsletter france3 Hauts de France et je continue a la recevoir j'airemarqué que le F était en minuscule et pas de s à Hauts dans le dernier mail nous suivons le programme de KAMINI !!! impossible d'annuler le s
Les directs,"Mme, Mr Bonjour, je n'arrive pas à me connecter sur france 2 directe sur mon ordinateur"
Mon compte france.tv,il n'est plus possible de se connecter
Comment contacter le service client ?,bonjur j'aurais aimé joindre la rédaction de france info.
Mon compte france.tv,quand je veux créer un autre compte on me dit que j'ai déjà un compte
Comment proposer un sujet ?,"JE VOUDRAIS ENVOYER MES PRODUCTIONS MUSICALES A FRANCE TV, MIAS JE N'AI PAS D4EMAILS DE CONTACT POUVEZ VOUS M AIDER"
Comment contacter le service client ?,"Bonjour, je souhaite adresser un courrier à Mme Ernotte Cunci. A quelle adresse celui-ci doit-il être expédié?"
J'habite à l'étranger,"Ne pas pouvoir regarder en direct C'est dans l'air parce qu'habitant Bruxelles, c'est pas stupide ?"
Mon compte france.tv,j'ai changé d'adresse mail et je n'arrive plus à me connecter
Mon compte france.tv,la validation a mes donneés de connection n'aboutit pas
Mon compte france.tv,Je ne parviens pas à créer le compte france. tv
Les directs,Je ne peux pas voir le direct du moment sur France 3. A la place c'est un jeu
Mon compte france.tv,"Pourquoi je n'arrive plus à me connecter, je ne peux même plus changer mon mot de passe"
Comment contacter le service client ?,"bonjour, un article du site France 3 est obsolete et dessert la reputation de mon client. Je souhaiterais donc le voir retirer de votre plateforme"
J'habite à l'étranger,je vis en Belgique et je voudrais savoir si je peux regarder les programmes de France3 sur mon iphone
Mon compte france.tv,"J'ai reçu un mail France-TV provenant de cette adresse no-reply@nl.francetv.fr"" pour réitianRéinitialiser mon mot de passe. A-t-il été expédié de chez vous. Merci"""
Comment proposer un sujet ?,"Il serait judicieux d'adapter à vos programmes en fin de semaine des variétés, pourquoi pas mettre un siècles ( 1900 - 2000 ) de chansons avec la biographie du chanteur et le pourquoi des chansons animateur par ex. Damien The"
Mon compte france.tv,Il est anormal de devoir fournir ses données personnelles pour regarder une émission sur internet alors qu'on contribue par l'impôt à l'audiovisuelo.
Comment contacter le service client ?,"je voudrais poser une qustion juridique, est ce la meme rubrique ?"
S'abonner ou se désabonner à nos newsletters,J'aimuerais me desinscrire de votre lettre
Quel est le programme TV ?,Qu'y a-t-il sur France Tv ce soir ?
Mon compte france.tv,"Bonjour, j'ai oublié mon mot de passe, j'ai donc fait mot de passe oublié, changer mon mot de passe et malgré cela impossible de me connecter merci"
Comment contacter le service client ?,je voudrais revoir les chronique de Olivia de lamberterie pour avoir des conseils de romans à offrir à Noël
Replay,"bonjour, nous sommes en suede ou nous vivons depuit 12 ans j'ai votre choisi chaine france 2 dans mon abonnement, fan du télématin pour nous informer, je ne peux pas avoir le replay avez vous un solution"
Comment proposer un sujet ?,je voudrais vous envoyer mon court-métrage
Mon compte france.tv,Je souhaite modifier mon pseudo
Comment activer les sous-titres ?,Pourquoi la 5 a des sous titres sourds et malentendants depuis une semaine ?
Comment proposer un sujet ?,"Bonjour a toutes l équipes.\nje regarde souvent les chaine françaises, mais voila super déçus, sur vos programmes de la journée, de doc que l on connait, des films inconcrescible du soir, des émissions, certaines ennuyeuses, et moi comme tou"
Comment contacter le service client ?,la création de compte est défaillante
Comment contacter le service client ?,telephone gratuit des bureaux de France TV
Mon compte france.tv,Il ne s'agit pas du mot de passe mais d'un problème technique pour se connecter au club
Comment contacter le service client ?,je veux revoir documentaire sur sncf a 1.14 fr3 hier
Mon compte france.tv,La création d'un compte pour pouvoir voir le replay des jeux télés.
Mon compte france.tv,J'ai un compte et pourtant quand je veux regarder une émission en direct sur france TV j'obtiens erreur 4107
Mon compte france.tv,"Je l'ai bien reçu, mais au 3e caractère, il est bloqué"
J'habite à l'étranger,"je voudrais juste revoir la seconde partie de Alias Caracas "" sur mon PC. J'habite en Belgique"""
Replay,comment enchainer les vidéos
Comment proposer un sujet ?,"Je voudrais avoir la possibilité de faire un droit de réponse suite à un reportage fais à Champrovent à SAint jean de Chevelu mettant en scène un couple de médecin soit disant réparant le Chateau"""
Comment contacter le service client ?,"Bonjour, le DVD de fais pas ci fais pas ça yaura t'il Noël à Noël va t'il sortir ?"
Mon compte france.tv,mot de passe bloqué
Tour de France 2021,envoyez un message au tour de france
Comment proposer un sujet ?,"Pour quelle raison n'accordons nous pas plus d'importance au sujet de l'école primaire qui va fermer pour insécutité ( jets d'ordures dans la cour de l'école) c'est un sujet gravissime et fondamental à mon sens , nous allons fermer une écol"
Replay,"bonjour,   je cherche à revoir la revue de presse Culturelle après 9h présenté par Samuel Etienne, Frédéric Vion.  je ne trouve pas la revue dans les replay. Pouvez-vous m’aider à la trouver ?   Merci   Cordialement"
Comment proposer un sujet ?,Puis donner un commentaire pour féliciter A E Lemoine pour son Grand Échiquier
Replay,je voudrais revoir les damnés de la comédie française
Comment contacter le service client ?,"bjr, je veux un mail pour envoyer une réclamation."
Comment contacter un animateur ?,Je suis médecin spécialisé en immulologie et dans le dévelopement de médicaments. je souhaite transmettre des informations sur les données du dossier d'enregistrement du vaccin Pfizer: commetn vous les faire parvenir svp?
Mon compte france.tv,oublier moot de passe
Replay,"C'est a vous"" n'a pas eu lieu ce soir comme d'habitude a 19h??"""
Fort Boyard,Garant fort boyard ?
Les directs,Sur mon Android le direct des émissions sont pas en direct
Comment contacter le service client ?,Je veux parler a une personne France 2
Replay,"la programation des saisons suivantes,2,3,4 et 5de Distric 31 est elle prévue? si oui à quelle date"
J'aimerai poser une question autour du coronavirus,Je vous envoyer une question pour que elle soit répondue durant l émission
Replay,aucun replay de france TV n 'est disponible sur la TV alors que l'on peut voir sur l 'appareil les replay des autres chaînes .
Replay,COMMENT VISIONNER LES ANCIENNE VIDEO DE SAGESSE BOUDHISTE?
Replay,regarder france 2 en direct internet
Replay,Les programmes France tv ne s' affichent plus dans les listes des programmes de mes appareils et lorsque je demande les Infos d'une chaîne la 3 me donne toujours quelque soit le programme Question pour un Champion
Replay,"Bonsoir, pourquoi le Replay du 20 heures n'est pas visible aujourd'hui? J'ai remarqué que cela arrivé le plus souvent en fin de semaine....bizarre,"
Mon compte france.tv,Je veux modifier mon adresse mail ???
Comment contacter le service client ?,la video ne se lance pas est coupée hachée c'est impossible de suivre un programme
S'abonner ou se désabonner à nos newsletters,Désinscription
Replay,je n arrive pas ame cocnecter
Comment contacter le service client ?,comment répondre à une lettre d'Alexandre Pivier
Comment contacter le service client ?,Je veux contacter le service
Replay,"Quelque soit la chaine de télévision, hormis arte qui ne fait pas patie de France.tv, je ne peux plus regarder avant-première ou replay des émissions sur mon ordinateur. Je suis à Lyon et j'ai la fibre."
Comment contacter un animateur ?,Comment faire pour transmettre un message qui sera lu par l'équipe journalistique ?
J'habite à l'étranger,Merci de paramétrer que Wissembourg est esitué en France même si la frontière allemande est à moins de 500m. Ne vous fiez pas à ce que dis mon opérateur. Cordialement.
Comment contacter le service client ?,contacter ka rédaction
Replay,Le sanctuaire sera t il bientôt disponible en replay?
Comment proposer un sujet ?,proposiion de sujet
Comment contacter le service client ?,Je travaille pour une société de télévision au Pays de Galles. J'ai une demande concernant les images d'archives Eurovision de 1996
Secrets d'Histoire,box orange secret d'histoire Voltaire ou la liberté de penser le 03052021
Comment activer les sous-titres ?,"Bonjour, je déplore le sous titrage pour les mal voyants à l'emission c à vous sur France 5? le sous titrage est en plein milieu de l'écran, n'y a t'il pas un moyen pour placer ce sous titrage en bas de l'écran"
Replay,erreur 3000 video indisponible : qu'est-ce que cela signifie ?
Mon compte france.tv,Le problème est que je ne reçois pas le lien
Comment contacter le service client ?,Je souhaite écrire un mail a france 2
Comment proposer un sujet ?,Comment envoyer réclamation
Replay,pourquoi la saison 2 les mystérieuses cités d'or n'est pas disponible ?
Replay,"comment retrouver une partie de vidéo du tour de France qui a été zappée"" par la Pub?"""
Mon compte france.tv,Je suis inscrite onnereconnait pas mon adresse
Comment contacter le service client ?,comment vous joindre par telephone
Mon compte france.tv,impossible de me connecter avec mes identifiants habituels
Mon compte france.tv,Comment envoyer un email à france tv?
Replay,Je ne peux regarder aucun replay
Comment proposer un sujet ?,"Bonjour, comment faire pour informer votre rédaction d'une nouvelle importante cdt jérôme bréjon"
Comment proposer un sujet ?,"je me presente je m'appelle houda AKNIN je suis responsable du service location pour le groupe TRESSOL CHABRIER à MONTPELLIER et je souhaiterais vous préenter nos différentes gammes dà la location, notamment pour la serie un si grand soleil"
Comment proposer un sujet ?,Comment faire une réclamation par mail pour l'émission ça commence aujourd'hui ?
Mon compte france.tv,quand je demande mon mot de passe je recois rien
S'abonner ou se désabonner à nos newsletters,Je veux me désabonner
Mon compte france.tv,Mon mail n'est pas ac
Comment proposer un sujet ?,j'ai publié un thriller qui pourrait intéressé la production des fictions sur fr3 ; je suis un fidèle des fictions du samedi soir et je pense que mon livre dont l'action se passe ici à Poitiers et ses environs pourrait faire un film
Mon compte france.tv,Impossible de finaliser
Comment proposer un sujet ?,"Je vous voulais absolument saluer notre service public et france 2, de nous avoir offert ce merveilleux spectacle de danse Norvegienne, tout simplement. Merci beaucoup."
Comment contacter le service client ?,Non mais c'est pas normal de pas pouvoir voir ce qui est programmé
Mon compte france.tv,"connection à france.tv, comment?"
Quel est le programme TV ?,mon programme de tf1 de l'après-midi. ne s'affiche pas
S'abonner ou se désabonner à nos newsletters,Je voudrais annuler mon abonnment avec votre site. Priêre de le faire immédiatment.
Replay,"Depuis quelques jours, je ne reçois plus rien. Ni l'actualité à 7 h 30, ni culture box etc... Pourquoi ? d'avance? merci"
Mon compte france.tv,bonjour je n'arrive pas à me connecter meme en ayant changer mon mot de passe
Comment proposer un sujet ?,Je voudrais envoyer un mail à complément d'enquête comment puis faire?
Replay,impossible de regarder de gaulle en replayr
Comment contacter le service client ?,"Bonjour, je souhaiterai organiser une rencontre entre Nexity et France Télévision. POuvez-vous me donner un contact au sein de votr équipe commerciale ?"
Mon compte france.tv,Impossible de me connecter
J'aimerai poser une question autour du coronavirus,"et jetravaille dans un bar dansant qui suite à la pandémie est fermé. Au chômage partiel donc, mon employeur me demande de reprendre suite à l'ouverture de la terrasse de l'établissement tout en étant au chômage partiel.C'est légal ?"
Fort Boyard,comment écouter fort boyard
Replay,"Comment revoir Winston Churchill un géant dans le siecle""? Merci de votre """
Comment contacter le service client ?,es ce que le serviece clientelle
Replay,Le pb existé pour le replay de toutes les vidéos de franc TV
Comment contacter le service client ?,Je suis victime d'une arnaque avec la societé my expresso
Mon compte france.tv,Bonjour comment désactiver mon compte ?
Comment proposer un sujet ?,je veux communiquer sur mion exposition
Mon compte france.tv,je n'arrive pas à finaliser mon inscription
S'abonner ou se désabonner à nos newsletters,je me demande a quoi j'étais abonné
J'aimerai poser une question autour du coronavirus,"pourquoi ? les opérateurs n'envoientpas un message sur les gestes de sécurité pour éviter que des irresponsables puissent contaminer leurs familles ,les personnes fragiles et âgées ."
Mon compte france.tv,je ne peut plus me connecter.et je ne peut pas changer mon mot de passe
Quel est le programme TV ?,je souhaite regarder les programmes en VO
S'abonner ou se désabonner à nos newsletters,je l'ai fait et malgré ça je continue à recevoir tous ces messages qui ne m'intéressent pas; désabonnez moi rapidement
Comment proposer un sujet ?,je souhaite entrer en contact avec le service des mini séries ou programme court
Comment proposer un sujet ?,"Bonjour, à qui puis-je envoyer un mail pour proposer un livre de nouvelles écrit pendant la période de confinement ?"
Comment proposer un sujet ?,E VOUDRAIS ENVOYER un projet de serie a FRANCE 5
Les directs,ma cl est dejà installé mais je ne vois pas l'icone sur france tv sport...
J'aimerai poser une question autour du coronavirus,Faut-il attendre l'arrivée du vaccin de Sanofi ou de faire vacciner de suite?
Comment proposer un sujet ?,j'ai une idée d'émission courte
S'abonner ou se désabonner à nos newsletters,J espère ne plus rien recevoir
J'aimerai poser une question autour du coronavirus,"La courbe que le 1er ministre vient de montrer n'est pas réaliste: elle était une droite; personne ne peut prévoir son infexion! Surtout qu'elle commencera aujourd'hui, ni sa forme."
Comment contacter un animateur ?,bonjour je voudrais contacter Elise Lucet
J'aimerai poser une question autour du coronavirus,que sont les virus? : ce sont des amas électrolytiques: demandez à NotrePrésidenT Mr Macron pourquoi LES LOIS DE LA VIE deMr Louis Claude Vincent a été écartée volontairement des aidesQUE VOUS AVEZ BIEN BESOIN..Les virus? sont des amas ele
Comment proposer un sujet ?,helasje vais changer de crèmerie et rechercher un journal télévisé un peu plus palpitant. Mais vous passez à coté de votre rôle également en tant que chaine publique d'élever les gens qui vous regardent
S'abonner ou se désabonner à nos newsletters,"je souhaite être désabonéée de la news letter plus belle le vie"""
Comment contacter le service client ?,avoir un opérateur au tél
Comment activer les sous-titres ?,activer sous-titres
J'habite à l'étranger,"Bonjour! J'habite au Canada et les liens pour pouvoir visionner le fil Charlie Chaplin, le génie de la liberté 2020 Film VF Complet ne fonctionne pas.Puis je avoir accès si j'habite au Canada? Sinon, le film se vend t'il en DVD?"
Comment proposer un sujet ?,je suggere une liste de 16 chanteurs a ajouter
Comment contacter le service client ?,comment puis-je vous contacter
Mon compte france.tv,j'ai renseigné tous les champs demandés pour mon inscription sans résultat
Comment contacter le service client ?,"Bonjou, hier vous avez parlé de crowdfarming mais je me souviens plus si c’etait à Télématin ou au journ de 13h. Je voudrais savoir si vous pouvez me donner le nom exact, un contact. Merci !"
Comment activer les sous-titres ?,je souhaite exprimer mon mecontentement face au sous titrage qui est completement decale comparativement aux images que vous presentez
Comment contacter le service client ?,"Pourquoi déprogrammez-vous LMF5, cette émission de qualité suivie par nombre de personnes? Toujours ce délire de se séparer de la télé des hommes blans cinquantenaires""? """
Comment proposer un sujet ?,"Bonjour je souhaiterai stipuler que je suis enseignante et en maternelle, les enfants n ont pas de masques."
Replay,"erreur 4103. Canal, OCS, Netflix, La cinetek, Mubi : je pratique toutes ces plateformes numériques régulièrement, j'ai eu une fois un problème sur Mubi, résolu dans l'heure qui a suivi. C'est la première fois que je me connecte sur la vôtre"
Comment contacter un animateur ?,J'aimerais entrer en contact avec l'emission Décompression musicale
Comment proposer un sujet ?,DITES MOI COMMENT FAIRE POUR PROPOSER UN SUJET POUR LE JT
Comment proposer un sujet ?,je suis dans une detresse totale
Mon compte france.tv,j'ai changé d'adresse mail et je ne peux plus me connecter
Mon compte france.tv,Bonjour je souhaite changer mon adresse mail
J'habite à l'étranger,"Bonjour,je vis aux Québec et j'aimerais m'inscrire mais nous avons pas les meme codes postales que vous en France. Parce-que j'aime certaines émissions et j'aimerais poser des questions a l'émission C DANS L'AIR. Comment puis-je faire stp."
Mon compte france.tv,"bonjour, je ne trouve pas où changer de mot de passe ?"
Comment proposer un sujet ?,J'ai un reportage suite à l'explosion du port de Beyrouth que je souhaite l'inclure dans vos reportages sur le même thème. J'ai assisté au dernier reportage que vous avez diffusé la semaine dernière sur le port de Beyrouth
Mon compte france.tv,"bonjour, habituellement, j'étais connectée automatiquement, là ça ne fonctionne plus et même quand je mets l'adresse mail, le mdp, et bien, rien ne se passe quand j'essaie de valider"
Replay,Bonjour pourquoi il n'y a que la première mi-temps d FRANCE / GALLE en replay aussi bien sur internet qu'en replay sur les box ?
Comment contacter le service client ?,Problème sur volume du son pendant télématin
Comment contacter le service client ?,"Bonjour je cherche un reportage dans météo à la carte sur les cosmétiques bio dans la région occitanie. Je suis allé dans replay"" mais je n'arrive pas à faire de recherche par thyme. Comme puis je faire. Merci"""
Comment proposer un sujet ?,C'est une proposition de reportage pour les JT ou magazines info
Mon compte france.tv,POUR MODIFIER SON MOT DE PASSE
Mon compte france.tv,Je n'ai pas perdu mon mot de passe ca met erreur
J'habite à l'étranger,je suis en Angleterre
Replay,Bonjour comme faire pour revoir l'emission de Frédéric Lopez :comme les autres .sur le handicap diffusé le 5 mai 2020?
S'abonner ou se désabonner à nos newsletters,quel esst le coût associé aux abonnements ?
Replay,"Bonjour, quand je regarde un replay sur votre site, je rencontre toujours le même problème quelque soit le programme. Dès que la page publicitaire (qui arrive au bout de 20 min) se termine ou si je reprends la lecture juste après avoir fait"
Comment contacter un animateur ?,Bonjour comment contacter Alex jaffrey question musique
Replay,comment voir le film de france 2 du 13 septembre pentagon paperen replay
Comment contacter le service client ?,je n'ai plus accès à france 2 tv via ma smart tv connecté sur ma télévision
J'habite à l'étranger,"avez vous bien lu et compris mon message, il sagit de la connection de mon ordinateur qui ne se fait car le message decran annonce qu il me situe en \\Bosnie Herzegovine alors que je suis en Islande, retablissez ma reception VPN svp"
Mon compte france.tv,au moment de l'inscription a france .tv il 'est impossible de rentrer ma date de naissance
Comment proposer un sujet ?,"Je voudrai proposer un sujet de reportage pour le journa lde 13 heures, il s'agit du sauvetage d'une chapelle Templière, près de Fontainebleau, on peu la voir sur internet à chapelle de Fourche. Contact Claude-Clément Perrot? 06 66 53 93 56"
Replay,la vidéo est coupée
Mon compte france.tv,je clique et on me dit que la page n'existe pas ????
S'abonner ou se désabonner à nos newsletters,"Je souhaite me désabonner de la newsletterPlus belle le Vie"""
Replay,impossible de lancer les replay
J'aimerai poser une question autour du coronavirus,"Question sur covid, on peut faire des embrassades a ces enfants"
Comment contacter le service client ?,adresse de France télévisioon
Replay,"Bonjour, je n.ai plus accès aux replay depuis quelques jours, que se passe t il ? Merci de votre retour 😊"
Mon compte france.tv,"De plus, mon password est bien le bon , choisi par moi et vous dites que ce n'est pas le bon . Je ne sais plus que faire sauf le changer a nouveau."
Mon compte france.tv,comment modifier ma date de naissance erronee
S'abonner ou se désabonner à nos newsletters,je voudrais me désinscrire
Comment contacter le service client ?,Alors a qui je peux demander quel était ce fleuriste. ?? Pouvez vous me communiquer le nom de la prod ou autre ???
J'aimerai poser une question autour du coronavirus,J'habite le 95 et j'organise une soirée mi octobre dans un restaurant. e département est il concerné par le seuil maxi de 30 personnes
Replay,"Pouvez-vous me dire pourquoi les programmes ne commencent jamais à l'heure ? C'est de plus en plus tard ! 21h05 annoncé, 21h12 réel !"
S'abonner ou se désabonner à nos newsletters,Je veux annuler mon abonnement . Merci et joyeux noël
Quel est le programme TV ?,"Bonjour, je cherche à savoir comment partager l'excellent documentaire Le Génie des arbres sur facebook."
Replay,"Bonjour, des que je regarde une emission en streaming le son est dédalé et dégradé, sauf sur le pauses publicitaires? mes pilotes sont à jour, ma box fonctionne correctement. Je n'ai pas ce problème chez vos conccurents. Une solution svp"
Replay,Je parle de l'emission TV et pas de video ou streaming.
Comment contacter le service client ?,Bonsoir Ce n est pas une question mais une constatationa la meteo de 21h il est mentionné Albi dans le departement 31 or cette ville se trouve dans le 81
Mon compte france.tv,Impossible de me connecter à France Télévision erreur
Comment proposer un sujet ?,je voudrai faire un reportage avec franc3
Comment proposer un sujet ?,Pouvez-vous m’expliquer les modalités pour réaliser un reportage sur une entreprise en Alsace ?
Comment contacter le service client ?,Je recherche les droits de projection d'un film.
Mon compte france.tv,Mais je ne parviens pas à me connecter sur le
Replay,Je n'arrive pas à visionner la pièce.
Comment proposer un sujet ?,"Bonjour, Je voudrais savoir pourquoi les médias ne demandent pas au gouvernement de supprimer le loyer de chaque habitant, c'est toujour les bas salaire que subissent les bailleurs ne subisse jamais.Je suis en chômage partiel et les fêtes d"
Comment contacter le service client ?,je desire expedier un livre que j'ai ecrit à l'emission le Magazine de la sante gerard collard les livres et moi
Replay,pourquoi les replay france 2 et france 3 disfonctionne ?
Replay,"Bonjour,je ne peux pas lancer la video du direct. MacOS Catalina"
Mon compte france.tv,Je n'ai rien dans les spams. Je confirme que j'ai tout suivi à la lettre jusqu'à valider que je veux rester connecté. Mais rien ne se déclenche alors que la semaine dernière encore cela fonctionnai.
Mon compte france.tv,je vous remercie et j espere que je pourais me connecte sens probleme !
Comment contacter le service client ?,Bonjour je ne comprends pas
S'abonner ou se désabonner à nos newsletters,je me suis exprimée clairement ...
Comment proposer un sujet ?,Comment proposer un sujet pour votre JT télévisé de fr2 ?
Comment contacter un animateur ?,Jean luc reichmann
Mon compte france.tv,"Je l ai récemment créé, je ne reçois pas de mail lorsque je fais mot de passe oublié ... c est pour regarder plus belle la vie en avance."
Comment contacter le service client ?,"mes photos sont trop lourdes, comment puis je vous les envoyer?"
Mon compte france.tv,"Pourquoi on n'accepte pas que je puisse donner un avis ou un pouce , on me dit que l'on connait pas mon mail , pourtant vous me joignez bien à ce mail ."
Comment contacter le service client ?,Je cherche à envoyer un mail à un journaliste du service Actualités
Secrets d'Histoire,"Très mécontents du changement de programme ce lundi 25 janvier où nous voulions suivre l'émission secrets d'histoire"". Cela va-t-il se reproduire et dans ce cas comment retrouver fr3 national ? """
Replay,comment faire pour vous envoyer une vidéo ?
S'abonner ou se désabonner à nos newsletters,Comment me désabonner
Tour de France 2021,Serait il possible de faire une présentation technique détaillée d'un vélo du tour de France ?
Comment proposer un sujet ?,proposer un reportage
Replay,J'ai cliqué sur France 5 direct le programme du moment ne démarre pas
Les directs,Ras le bol de la place donnée au syndicat de policiers Alliance omni présent à la tv et sur France info....
Replay,"comment revoir le documentaire L'exode"" diffusé le 8 juin à 21h05"""
Mon compte france.tv,"Bonjour, je ne peux plus me connecter. Réponse Adresse mail fausse Mot de passe faux"
Mon compte france.tv,pas reçu de mail de vos services me permettant de me connecter
Replay,Pourquoi arrêter mes connections sur France TV ? Je regarde vos émissions sur ma tablettes en direct ou replay toutes les semaines ....alors me dire que je ne me suis pas connectée depuis 17 mois est FAUX !
Replay,mon frere est malvoyant et s'est retrouve abonne sur le replay france tv depuis decembre 2019et je veux demander le remboursement?
Comment contacter le service client ?,"Bonjour je cherche un correspondant qui s'occupe des manifestations ou il y a besoin d'agents de securité, comme je suis une société de sécurité qui peut mettre à disponsition un service de surveillance. Merci de votre retour, Bonne journée"
Replay,"Bonjour, je suis à la recherche depuis quelques temps de l'émission les Z'amours enregistré le 23/10/2001 et diffusé le 15/11/2001. Je ne sais plus comment faire. L'avez vous sur un site? Peux t'on faire une demande officielle. C'est impo"
Replay,voir les émissions en temps réel ou en replay...
Comment proposer un sujet ?,Je désire envoyer un dossier de presse à l'émission télé matin
Comment proposer un sujet ?,proposer un documentaire
Comment proposer un sujet ?,Bonsoir j'aimerais juste proposer des programmes pour les jours
Mon compte france.tv,pourquoi ma demande d'inscription n'aboutit pas
Comment contacter le service client ?,Ou contacter le service pour une réponse personnalisée
Comment contacter le service client ?,comment contacter votre service?
Comment contacter le service client ?,envoyer un commentaire
Comment contacter le service client ?,Je suis mécontente des infos diffusées
Replay,"Je n'arrive pas à regarder une seule vidéo quelque soit la chaîne, la série où l'épisode."
Replay,"Replay de Les gamins de Menilmontant"""
J'aimerai poser une question autour du coronavirus,En généeal tous les vaccins sont sur des bases d'oeuf??
Comment contacter le service client ?,france 2 donne des infos sur les autorisations de sortie qui sont érronées
J'aimerai poser une question autour du coronavirus,donner son avis sur le covid
Replay,JE N'AI PLUS ACCES AU REPLAY OU LE DIRECT
Mon compte france.tv,"Bonjour, je ne parviens pas à me connecter suite à la création de mon compte"
Comment proposer un sujet ?,La reponse ci-dessous n'indique pas comment faire la proposition par MAIL
Comment contacter le service client ?,"je souhaite avertir france televisions, que j;ai été probablemen victinme d'une arnaque, 0qui dois-je adresser mon courrier ?"
Comment proposer un sujet ?,"Bonjour,\nje souhaiterais partage avec vous lors d'une émission ou autre, le défi que je vais réaliser cette année qui est l'ascension du Mont Everest en mode Trail. 310km pour 22 000 de D+. Je serai ravi de partager un moment avec vous"
Mon compte france.tv,je n arrive pas à reéinitialiser mon mot de passe
Mon compte france.tv,e voudrais changer mon adresse mail. Comment faire ?
Replay,J'ai mis une video dans mes favoris. Comment faire pour la regarder ?
J'aimerai poser une question autour du coronavirus,agée de 62 ans seule je dois me rendre pour récupérer un chiot le 15 novembre que j ai acheté et payé chez un éleveur professionnel qui possède une attestation de droit de passage à joidre à celle de la dérogation
S'abonner ou se désabonner à nos newsletters,Veuillez me désabonner
Comment proposer un sujet ?,J'aimerai savoir comment ou par quel mocontacter une personne de Thalassa pour un potentiel documentaire sur mon association Reefscapers Foundation qui a pour but de restaurer les récifs coraliens aux maldives. Merci d'avnce de votre aide.
Replay,Code erreur
J'aimerai poser une question autour du coronavirus,"Loors du covid l'infalammation de la fosse nasale qui communique avec le sinus ethmoidal la lame criblée et les racines nerveuses olfactives, le prelèvement in situ ne favorise-t-il pas l'atteinte nerveuse de l'odorrat"
Replay,Il ny a plus de replay france tv sur ma télé freeboxdepuis ĺe 13 mai. Est ce normal ?
Mon compte france.tv,tout les 2 semaine on demande un nouveau mot de passe
Comment proposer un sujet ?,"Je n'avais pas terminè. Il a mis des placebos dans ma perfusion, puis il m'a donné le compte rendu d'examen clinisue sui n'a pas été fait ou il est explisu3 que tout va bien, ainsi que le résultat d'un bilan sanguin qui n'a pas été effectué"
Replay,Quand allez vous diffuser la saison 3 de discrit 31 radio-canada
Comment contacter le service client ?,"bonsoir, je souhaiterai savoir si il y aura une saison 3 pour pequenas coincidas. Je vous remercie pour votre réponse. Cordialement. Patricia Sarrazin"
Replay,"je n'arrive pas à visionner la TV sur MAC, pourtant j'ai téléchargé France VPN (je suis à l'étranger)"
J'habite à l'étranger,"j essaye de regarder le reportage sur l irak !conseiller par un ami!! mais, il me semble que dans mon pays ;il est pas autoriser,j aimerai bien savoir pourquoi?"
Mon compte france.tv,"Bonjouir, je n'arrive pas à me connecter,et lorsque je fait mot de passe oublié, il ne se passe rien.Merci"
Replay,"Tous les programmes du direct et des replay en ligne sans exception ! Je me connecte normalement, la connection d'ailleurs n'est pas figée, il arrive souve,t d'etre obligée de recommencer encours d'utilisation du site, apparté, rien du dire"
Comment proposer un sujet ?,"Bonjour, je voudrais faire connaitre un projet solidaire, j'aimerais m'adresser aux médias pour le faire connaitre, je ne sais pas si un assistant numérique va pouvoir m'orienter vers le bon interlocuteur"
J'aimerai poser une question autour du coronavirus,comment poser une question concernant le covid?
J'aimerai poser une question autour du coronavirus,"Bonjour, a partir de samedi. Les adultes. Pourront ils recommencer les sports nautiques individuels (paddle, longe côté, planche à voile, deriveur, surf) . Merci jp 56"
Mon compte france.tv,vous m'avez dit de cliquer sur disfonctionnement. Je ne vois ce mot nulle part. Merci
Tour de France 2021,ou puis trouver le replay de l'étape 9 du tour de france ?
Comment contacter le service client ?,"Parler à un humai ,"
Comment proposer un sujet ?,Reportage sur les professeurs décrocheurs
Replay,Bonjour je n arrive plus à voir les derniers épisodes de skam l écran est noir et il y a une description orale ?
Comment contacter le service client ?,Je voulais envoyer un courrielle
Comment proposer un sujet ?,je voudrais laisser un message pour le telethon
Quel est le programme TV ?,programme tv
Comment proposer un sujet ?,"bonjour, ou proposer un sujet ?"
Replay,non ma souscription a la semaine pour regarder des replay
Mon compte france.tv,connection impossible au site depuis hier.
Mon compte france.tv,je n'arrive pas à me connecter
Mon compte france.tv,tous mes mots de passe sont refuses. pourquoi?
Mon compte france.tv,Depuis que je me suis inscrite impossible de me connecter.je tombe sur page introuvable.Erreur 500.Je voudrais regarder en replay un si grand soleil
